id,listing_url,name,summary,space,host_name,host_response_rate,host_acceptance_rate,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1069167,https://www.airbnb.com/rooms/1069167,Private apartment within our home & easy parking!,Our mid-century/modern vibe apartment is sunlit & private.  You can listen to vinyl & chill out in your space or jump on the public transit a block & a 1/2 away & go anywhere you'd like in the city or farther.,"Our lovely mid-century/modern vibe apartment is sunlit & has its own private bathroom with recently remodeled shower.  You will be staying in a home that is over 100 years old; with that comes the quirks & original details you might expect from an older home - if you are interested in a sleek, modern, brand new place, our home is probably not for you!  However, if you have an affinity for older, vintage pieces & they charm you, this might be your place :)  You can listen to vinyl & mellow out in our fun, vintage mid century modern chairs &/or jump on the public transit & be anywhere you'd like in the city!  If this is your first airbnb experience we are super happy to be hosting you, however, please make sure to read on & read thoroughly all of the entire description for the specifics staying in our airbnb & EXACTLY where we are located (not near touristy destinations!!) Airbnb is not a hotel & it's good to know how Airbnb works if you are new!) (& if you are an old hat, read on for al",Jenifer & Bob,100%,,Bayview,Bayview,94124,37.74168,-122.38258,Guest suite,Private room,2,$76.00 ,344,95.0,10.0,9.0,10.0,10.0,9.0,10.0,4.94
4526608,https://www.airbnb.com/rooms/4526608,"Unique, Private Retro SF Space","Enjoy your San Francisco stay in the sunny Bayview district. 420 friendly space is on bottom garage level of home. Private entrance, backyard seating, queen bed, microwave, fridge, wifi, bathroom w/shower, free easy street parking, laundry. Close to SFO & T train","A lot of effort was put into making this a serene space for people visiting San Francisco to escape to. Since we are huge music lovers and San Francisco has a rich musical history, we decided to give a nod to rock n roll in the room’s design. Elements include vintage rock posters, a 45” record turned napkin dispenser, and framed one-of-a-kind photographs of musicians. What the room doesn’t include is NOISE:)  The yard Is part of the appeal of staying with us. It's got plenty of outdoor seating and room to relax in and lots of sun weather permitting. The space is One large room, rather than a full apartment, since there are convenient amenities but not a full kitchen. You enter through our garage, so when you first step inside, you're in the rustic garage level laundry area, and from there you enter the space itself, which is all yours and completely private.  3 People Maximum but if you have a larger group... We limit the number of people in the guest space to 3 people. IF you have a l",Chris And Tex,100%,,Bayview,Bayview,94124,37.7343,-122.38795,Guest suite,Entire home/apt,3,$95.00 ,328,95.0,10.0,9.0,10.0,10.0,9.0,9.0,5.58
654279,https://www.airbnb.com/rooms/654279,Quiet Room in Our Friendly Home,"Private room for up to two guests in our home includes access to our shared bathroom, kitchen, dining room, living room, laundry, free parking and wi-fi. Famous SF destinations easily accessible by local buses. Good restaurants within walking distance. Non-smoking.",Our home is a typical 2-bedroom San Francisco row house built over 75 years ago. We live on a quiet street in the Southeast part of the city.  The bedroom is very comfortable for up to two people. We do not consider requests for bookings of more than two people.,Chris & Tim,100%,,Bayview,Bayview,94124,37.74514,-122.40459,House,Private room,2,$90.00 ,302,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3.47
3689368,https://www.airbnb.com/rooms/3689368,"Lovely house, sunny bedrooms, free parking garden","Hello. My cute little home is located in the sunniest neighborhood in San Francisco. It is near public transit, the freeway and SFO airport. There is a lovely garden and all the amenities of modern living: a big refrigerator, stove/oven, washer/dryer, hair dryer, wifi, iron, microwave, coffee machine and rice cooker.","Great weather, a nice backyard, a driveway parking spot, close to public transit, Smart TV, fresh interior paint and new bamboo floors. Open kitchen/dining area, a beautiful garden for coffee/tea or BBQ.",Brendan,100%,,Bayview,Bayview,94124,37.72837,-122.3978,House,Entire home/apt,6,$224.00 ,299,92.0,9.0,9.0,10.0,10.0,9.0,9.0,4.75
14386727,https://www.airbnb.com/rooms/14386727,"Beautiful Balcony, 2 Rooms, 3 Beds, Free Parking","Spend the day in SF & the evening under the stars on your breathtaking balcony!  Comes w/ 2 rooms, TV w/ free Netflix, full kitchen (fridge, microwave, stove/oven, dishes), 2 bathrooms (shared w/ other guests), free/easy street parking, easy access from SFO (14min drive) and to downtown SF (15min drive, 3min walk to T Muni line to downtown). The smaller second room (comes with a full futon) is connected to and accessed through the larger front room (comes w/ queen bed & twin loft bed).","Please note that while your rooms are 100% private with a lock on it that only you will have, you will be sharing the kitchen and two bathrooms with three other Airbnb rooms.  This is part of the fun though as you can meet different people from around the world who are staying here with you.  Access to the kitchen and bathrooms is usually fine as most people spend the majority of their time out and about in the city, but sometimes during peak travel times you may feel the house being a little more full.  So to be very clear, you will see several other Airbnb guests in the home who are living close to you (the nature of such a dense city as San Francisco) and sharing the kitchen and bathrooms, but as you can see in the reviews that my guests have loved their time here as people are usually very friendly and respectful.  You're two bedrooms are connected, and you will need to go through one to get to the other from the balcony or to the kitchen and bathrooms (as seen in the pictures).  Y",Sean,100%,,Bayview,Bayview,94124,37.7287,-122.38981,House,Private room,4,$210.00 ,281,94.0,10.0,9.0,10.0,10.0,9.0,9.0,7.55
14422371,https://www.airbnb.com/rooms/14422371,"Gorgeous Balcony, 2 Rooms, 3 Beds, & Kitchen","Spend the day in SF & the evening under the stars on your breathtaking balcony!  Comes w/ 2 rooms, TV w/ free Netflix, full kitchen (fridge, microwave, stove/oven, dishes), 2 bathrooms (shared w/ other guests), free/easy street parking, easy access from SFO (14min drive) and to downtown SF (15min drive, 3min walk to T Muni line to downtown). The smaller second room (comes w/ full bed) is connected to and accessed through the larger front room (comes w/ full bed, twin memory foam bed, & futon).","All of the beds are memory foam and very comfortable! Please note that while your rooms are 100% private with a lock on it that only you will have, you will be sharing the kitchen and two bathrooms with three other Airbnb rooms.  This is part of the fun though as you can meet different people from around the world who are staying here with you.  Access to the kitchen and bathrooms is usually fine as most people spend the majority of their time out and about in the city, but sometimes during peak travel times you may feel the house being a little more full.  So to be very clear, you will see several other Airbnb guests in the home who are living close to you (the nature of such a dense city as San Francisco) and sharing the kitchen and bathrooms, but as you can see in the reviews that my guests have loved their time here as people are usually very friendly and respectful.  You're two bedrooms are connected, and you will need to go through one to get to the other from the balcony or to t",Sean,100%,,Bayview,Bayview,94124,37.72828,-122.38974,House,Private room,5,$210.00 ,261,94.0,9.0,9.0,10.0,10.0,8.0,9.0,6.92
15179182,https://www.airbnb.com/rooms/15179182,Mid Century Meets Southern Hospitality in Bayview,"Make some fresh breakfast waffles in the waffle maker, take the T Line to famous Union Square for an action-packed afternoon, then come home to local pizza. This bright, modern pad features soft coral tones, cozy linens, and warm wooden furniture for a homey feel. Perfect for business as well as families.","Our lovely ground floor guest flat is an ideal retreat for travelers visiting both San Francisco and other areas down the peninsula. It has quick and easy access to both public transportation (the T line) and highways (101 and 280), as well as an easy drive to wine country, East Bay, or North Bay (Sausalito area). It has two bedrooms, a living room area, full kitchen and single bath. You also have your own separate entrance. Features: Full Kitchen with all the fun appliances you might need! Including: microwave, full refrigerator and freezer, Keurig coffee machine (we'll provide the coffee!), toaster, food processor (if we are missing something you might like, just message us and we will see if we can provide it!) Two big bedrooms - each with a extra comfy queen bed and multiple pillow types. There are also full closets in each room with hangers. Each room also has dressers for unpacking. Living Room area with big comfy sofa (which has a pull-out queen bed with pillow top for extra gue",Lauren,90%,,Bayview,Bayview,94124,37.73906,-122.38537,Apartment,Entire home/apt,6,$213.00 ,245,97.0,10.0,10.0,10.0,10.0,9.0,10.0,6.85
14043110,https://www.airbnb.com/rooms/14043110,"Huge Beauty, 3 Beds, Full Kitchen & Free Parking","Don't find just any room; book one in the heart of SF that you'll enjoy!  Your room has three full beds (each with memory foam mattresses),  space heater & fan, & large flat screen TV w/ Netflix. You have total usage of the kitchen (fridge, stove, oven, microwave, etc.) and two full bathrooms (shared w/ other guests). Easy, keyless self check-in. You'll have free/easy street parking, be a quick 14 min drive from SFO & downtown, 3 min walk to T train (which goes directly downtown).","Please note that while your room is 100% private with a lock on it that only you will have, you will be sharing the kitchen and two bathrooms with three other Airbnb rooms.  This is part of the fun though as you can meet different people from around the world who are staying here with you.  Access to the kitchen and bathrooms is usually fine as most people spend the majority of their time out and about in the city, but sometimes during peak travel times you may feel the house being a little more full.  So to be very clear, you will see several other Airbnb guests in the home who are living close to you (the nature of such a dense city as San Francisco) and sharing the kitchen and bathrooms, but as you can see in the reviews that my guests have loved their time here as people are usually very friendly and respectful.  Your large room has a lot of space!  As mentioned earlier, all of the full beds have a memory foam mattress on it to make your stay very comfortable. You also have a space",Sean,100%,,Bayview,Bayview,94124,37.72864,-122.38786,House,Private room,5,$190.00 ,244,94.0,10.0,9.0,10.0,10.0,9.0,9.0,6.47
7788844,https://www.airbnb.com/rooms/7788844,Beautifully remodeled 3 bedrooms in SF!,"A rare, recently remodeled, 3BR/2bath! This unit is fun, new and combines classic SF charm and modern touches. The space is designed for easy and comfortable stay!","With easy access to both public transportation and highways, this unit is ideal for travelers in both San Francisco and the peninsula.   Features: Three bedrooms - each with a comfy queen bed  Living area - with TV, Roku and AppleTV for streaming your favorite content  Kitchen - equipped with variety of  appliances including microwave, range, dishwasher and a coffee machine. Necessities for eating and basic cooking are available.     Bathroom and shower with provided towels Dining area - for fun meals and new memories Washer & Dryer - private washer & dryer located in the balcony Miscellaneous - extra towels, linen, iron & ironing board, hair dryer and other necessities available in unit",Gil,100%,,Bayview,Bayview,94124,37.73132,-122.39138,Apartment,Entire home/apt,6,$228.00 ,243,93.0,9.0,10.0,10.0,10.0,9.0,9.0,4.91
7514742,https://www.airbnb.com/rooms/7514742,Beautiful Charming Garden Hideaway,"Our Private Entrance,  GARDEN HIDEAWAY features a Lush Garden setting  with outdoor seating, a Private deck that leads to your beautiful two-room suite.  A Brilliant queen bed and a queen sofa sleeper, private bath,Flat Screen Cable TV, wi-fi,Fridge,Coffee Maker, Tea Kettle, and a Welcome Basket of Goodies...........A True San Francisco  Welcome!","Our garden level, private entrance, two-room suite has a small private deck with beautiful cushioned seating and access to our lush garden with outdoor sofa seating.  A high, redwood  privacy fence provides peace and comfort. You are welcomed by a bottle of Wine, or Lagers  and Snacks!  STREET PARKING  surrounding our house is FREE and UNMETERED.  Part of city life, is patience when parking lol.  Just be patient and you will find a spot.   Simply watch for street cleaning days . There is NO PARKING IN DRIVEWAY, except for Loading and Unloading. We work at different hours in day and night, and need to get our cars in and out often. Thank you.   The main bedroom features a wonderful queen size bed, with amazing  mattress, 44inch Flatscreen TV (cable included).  Your suite also has a completely private bath with shower.    The main living room offers a beautiful leather queen sized sofa sleeper with extra orthopedic, memory foam mattress, microwave, keurig coffee maker, tea kettle,  a sma",John,100%,,Bayview,Bayview,94124,37.73192,-122.38821,Guest suite,Private room,4,$114.00 ,223,98.0,10.0,10.0,10.0,10.0,9.0,10.0,4.4
